18034918	82846118	1	Fire Weather Watch issued May 17 at 4:21PM CDT expiring May 19 at 9:00PM CDT by NWS Lubbock... {link}
18034918	82510997	2	Passing out now.  working tonight. Storms today would be nice. Would be great sleeping weather. Mmmm
18034918	83271279	0	"RT @mention: ""The storm is only that which authenticates your path"" -- @mention"
18034918	80058872	2	It is hot out here but it feels great
18034918	80058809	1	I can't find a way to delete my iWitness Weather account but at least I've deleted ALL my photos on the site. (1 of which had 3K + views)
18034918	79188429	1	Record LOW humidity in Phoenix today:  {link}
18034918	82838136	2	@mention oh nice! We're all the way here in sunny Burbank California!
18034918	82513588	2	@mention no
18034918	84321017	1	@mention Is any part of this storm system going to make it across the mountains/in to NC & SC?
18034918	82680080	2	@mention cherry slush
18034918	82510259	0	In Florida
18034918	83258314	1	@mention yeah
18034918	80052652	3	For details about 2 Person Hot Tubs check out his latest web site about Hot Tub Chemicals. Posted in Spa and Med... {link}
18034918	79189357	2	"Nothing says ""Happy Cinco de Mayo!"" like an AP test and a rainy day. #fail"
18034918	83257167	1	Severe Thunderstorm Warning issued May 19 at 3:40PM MDT expiring May 19 at 4:30PM MDT by NWS Boulder {link}.... {link}
18034918	84312699	0	Tornado season really is nvr over. If its a severe thunderstorm
18034918	79187315	1	@mention @mention @mention it's just something to do and really storm? You don't know what a wet dream?
18034918	84034743	0	It's fuckin hot out
18034918	84319723	1	After being told no pink for decades USDA now says cooked pork can be pink
18034918	83259244	2	Sunshine parks and new hair scarves make life not so bad when @mention stays up all night.
18034918	84047815	1	RT @mention: Severe Thunderstorm Warning for Dakota
18034918	83268482	2	RT @mention: This kind of weather makes me want to go swimming.
18034918	81995233	3	"@mention delicious! Lol I have been waiting for this 70 degrees for oh...8 months! No joke. I've been out being a real ""dirty girl"" lol"
18034918	82845437	2	"""@mention: @mention awwww sounds sad lol its always hot there so yaw need a break anyway""--that's not fair"
18034918	82844107	1	Thunderstorms today
18034918	83255526	2	I love the weather in PHX right now!!
18034918	82675594	3	@mention I gotta say
18034918	81996945	3	@mention lol at Gary saying it to Storm. Hope the subtitles work for Celebrity Juice at 11pm....
18034918	82839844	2	@mention I love thunderstorms too but I couldn't stay in bed all day and enjoy it
18034918	82849313	3	"Check it out!! RT @mention: I posted 46 photos on Facebook in the album ""Storm Damage"" {link}"
18034918	81169556	0	@mention rrrrriiight who yu tellin idk weather to be mad or cry -__-
18034918	84305178	1	RT @mention: Looks like t-storm with 60+ mph winds within 30 minutes of downtown #joplin
18034918	80054166	1	#WEATHER: 2:55 pm E: 75.0F. Feels F. 29.96% Humidity. 3.5MPH Northwest Wind.
18034918	81173459	0	Even when the rain falls
